id;Imię;Nazwisko;Sezon;#;Gra nogami;Podania;Piąstkowanie;Robinsonada;Kreatywność;Zaangażowanie;Ogólna;Wartość
1;Henrich;Ravas;22/23;26;55;62;43;72;58;70;63;350
2;Jakub;Wrąbel;22/23;44;50;54;40;66;54;67;57;300
3;Vasyl;Lytvynenko;22/23;72;48;49;38;50;50;56;49;50
4;Henrich;Ravas;23/24;1;58;67;51;78;62;78;69;1200
5;Rafał;Gikiewicz;23/24;1;59;72;50;78;67;75;69;400
6;Ivan;Krajcirik;23/24;35;51;57;47;67;56;61;59;350
7;Jan;Krzywański;23/24;33;47;46;38;51;48;52;48;50
8;Jakub;Szymański;23/24;74;49;48;42;57;53;58;52;75
9;Rafał;Gikiewicz;24/25;1;58;70;48;76;67;74;67;250
10;Mikołaj;Biegański;24/25;31;49;54;39;62;53;66;56;200
11;Jan;Krzywański;24/25;33;48;47;39;51;49;54;49;50
12;Rafał;Gikiewicz;25/26;1;54;66;47;68;66;62;61;100
13;Jan;Krzywański;25/26;33;49;48;40;51;50;55;49;50
14;Bartłomiej;Drągowski;25/26;1;64;68;61;79;72;78;72;2000
15;Veljko;Ilić;25/26;30;61;60;60;74;68;68;67;2500
16;Maciej;Kikolski;25/26;98;60;61;60;72;66;69;66;300
17;Bartłomiej;Drągowski;26/27;1;64;69;62;79;73;79;72;2000
18;Veljko;Ilić;26/27;30;60;60;61;73;74;73;67;1000
19;Jan;Krzywański;26/27;33;50;48;41;51;51;55;50;75
20;Franciszek;Golański;26/27;46;44;43;35;50;44;66;48;25
