sezon,kolejka,gospodarz,gosc,wynik
22/23,1,Górnik Zabrze,Cracovia Kraków,0:2
22/23,1,Jagiellonia Białystok,Piast Gliwice,2:0
22/23,1,Korona Kielce,Legia Warszawa,1:1
22/23,1,Lech Poznań,Stal Mielec,0:2
22/23,1,Pogoń Szczecin,Widzew Łódź,2:1
22/23,1,Radomiak Radom,Miedź Legnica,1:1
22/23,1,Raków Częstochowa,Warta Poznań,1:0
22/23,1,Wisła Płock,Lechia Gdańsk,3:0
22/23,1,Zagłębie Lubin,Śląsk Wrocław,0:0
22/23,2,Cracovia Kraków,Korona Kielce,2:0
22/23,2,Jagiellonia Białystok,Widzew Łódź,0:2
22/23,2,Lechia Gdańsk,Górnik Zabrze,2:1
22/23,2,Legia Warszawa,Zagłębie Lubin,2:0
22/23,2,Miedź Legnica,Lech Poznań,2:2
22/23,2,Piast Gliwice,Raków Częstochowa,0:1
22/23,2,Stal Mielec,Radomiak Radom,1:1
22/23,2,Śląsk Wrocław,Pogoń Szczecin,2:1
22/23,2,Warta Poznań,Wisła Płock,0:4
22/23,3,Cracovia Kraków,Legia Warszawa,3:0
22/23,3,Korona Kielce,Śląsk Wrocław,3:1
22/23,3,Lech Poznań,Wisła Płock,1:3
22/23,3,Miedź Legnica,Warta Poznań,1:2
22/23,3,Piast Gliwice,Zagłębie Lubin,0:1
22/23,3,Pogoń Szczecin,Jagiellonia Białystok,1:0
22/23,3,Radomiak Radom,Górnik Zabrze,0:3
22/23,3,Raków Częstochowa,Stal Mielec,3:2
22/23,3,Widzew Łódź,Lechia Gdańsk,2:3
22/23,4,Górnik Zabrze,Raków Częstochowa,1:0
22/23,4,Jagiellonia Białystok,Radomiak Radom,1:2
22/23,4,Lechia Gdańsk,Korona Kielce,0:1
22/23,4,Legia Warszawa,Piast Gliwice,2:0
22/23,4,Stal Mielec,Cracovia Kraków,2:0
22/23,4,Śląsk Wrocław,Widzew Łódź,0:0
22/23,4,Warta Poznań,Pogoń Szczecin,1:2
22/23,4,Wisła Płock,Miedź Legnica,4:1
22/23,4,Zagłębie Lubin,Lech Poznań,1:1
22/23,5,Cracovia Kraków,Piast Gliwice,0:1
22/23,5,Górnik Zabrze,Stal Mielec,1:3
22/23,5,Korona Kielce,Warta Poznań,0:1
22/23,5,Lech Poznań,Śląsk Wrocław,0:1
22/23,5,Miedź Legnica,Zagłębie Lubin,0:1
22/23,5,Pogoń Szczecin,Wisła Płock,2:2
22/23,5,Radomiak Radom,Lechia Gdańsk,4:1
22/23,5,Raków Częstochowa,Jagiellonia Białystok,2:2
22/23,5,Widzew Łódź,Legia Warszawa,1:2
22/23,6,Jagiellonia Białystok,Miedź Legnica,2:1
22/23,6,Lechia Gdańsk,Lech Poznań,0:3
22/23,6,Legia Warszawa,Górnik Zabrze,2:2
22/23,6,Piast Gliwice,Stal Mielec,4:0
22/23,6,Raków Częstochowa,Pogoń Szczecin,1:0
22/23,6,Śląsk Wrocław,Cracovia Kraków,1:1
22/23,6,Warta Poznań,Widzew Łódź,0:1
22/23,6,Wisła Płock,Korona Kielce,2:1
22/23,6,Zagłębie Lubin,Radomiak Radom,0:1
22/23,7,Cracovia Kraków,Warta Poznań,0:2
22/23,7,Górnik Zabrze,Jagiellonia Białystok,1:1
22/23,7,Lech Poznań,Piast Gliwice,1:0
22/23,7,Miedź Legnica,Lechia Gdańsk,2:1
22/23,7,Pogoń Szczecin,Zagłębie Lubin,3:0
22/23,7,Radomiak Radom,Korona Kielce,0:2
22/23,7,Stal Mielec,Legia Warszawa,0:1
22/23,7,Śląsk Wrocław,Raków Częstochowa,1:4
22/23,7,Widzew Łódź,Wisła Płock,2:1
22/23,8,Cracovia Kraków,Raków Częstochowa,3:0
22/23,8,Korona Kielce,Pogoń Szczecin,1:2
22/23,8,Lech Poznań,Widzew Łódź,2:0
22/23,8,Lechia Gdańsk,Warta Poznań,0:0
22/23,8,Legia Warszawa,Radomiak Radom,1:0
22/23,8,Piast Gliwice,Miedź Legnica,2:1
22/23,8,Stal Mielec,Śląsk Wrocław,2:0
22/23,8,Wisła Płock,Górnik Zabrze,1:1
22/23,8,Zagłębie Lubin,Jagiellonia Białystok,1:1
22/23,9,Górnik Zabrze,Piast Gliwice,3:3
22/23,9,Jagiellonia Białystok,Stal Mielec,4:0
22/23,9,Miedź Legnica,Korona Kielce,2:2
22/23,9,Pogoń Szczecin,Lech Poznań,2:2
22/23,9,Radomiak Radom,Wisła Płock,2:0
22/23,9,Raków Częstochowa,Legia Warszawa,4:0
22/23,9,Śląsk Wrocław,Lechia Gdańsk,2:1
22/23,9,Warta Poznań,Zagłębie Lubin,2:2
22/23,9,Widzew Łódź,Cracovia Kraków,2:0
22/23,10,Cracovia Kraków,Pogoń Szczecin,1:1
22/23,10,Korona Kielce,Górnik Zabrze,1:2
22/23,10,Lechia Gdańsk,Jagiellonia Białystok,2:2
22/23,10,Legia Warszawa,Miedź Legnica,3:2
22/23,10,Piast Gliwice,Śląsk Wrocław,1:1
22/23,10,Raków Częstochowa,Radomiak Radom,3:0
22/23,10,Stal Mielec,Widzew Łódź,0:3
22/23,10,Warta Poznań,Lech Poznań,0:1
22/23,10,Zagłębie Lubin,Wisła Płock,2:1
22/23,11,Górnik Zabrze,Zagłębie Lubin,2:3
22/23,11,Jagiellonia Białystok,Korona Kielce,4:1
22/23,11,Lech Poznań,Legia Warszawa,0:0
22/23,11,Miedź Legnica,Stal Mielec,0:2
22/23,11,Pogoń Szczecin,Lechia Gdańsk,2:1
22/23,11,Radomiak Radom,Cracovia Kraków,0:2
22/23,11,Śląsk Wrocław,Warta Poznań,0:2
22/23,11,Widzew Łódź,Raków Częstochowa,0:0
22/23,11,Wisła Płock,Piast Gliwice,1:0
22/23,12,Cracovia Kraków,Lechia Gdańsk,0:1
22/23,12,Jagiellonia Białystok,Wisła Płock,1:1
22/23,12,Lech Poznań,Radomiak Radom,1:0
22/23,12,Legia Warszawa,Warta Poznań,1:0
22/23,12,Piast Gliwice,Widzew Łódź,1:2
22/23,12,Raków Częstochowa,Miedź Legnica,1:0
22/23,12,Stal Mielec,Pogoń Szczecin,4:2
22/23,12,Śląsk Wrocław,Górnik Zabrze,4:1
22/23,12,Zagłębie Lubin,Korona Kielce,1:1
22/23,13,Górnik Zabrze,Lech Poznań,1:2
22/23,13,Korona Kielce,Stal Mielec,0:2
22/23,13,Lechia Gdańsk,Raków Częstochowa,0:3
22/23,13,Miedź Legnica,Cracovia Kraków,1:1
22/23,13,Pogoń Szczecin,Piast Gliwice,1:1
22/23,13,Radomiak Radom,Śląsk Wrocław,2:0
22/23,13,Warta Poznań,Jagiellonia Białystok,2:0
22/23,13,Widzew Łódź,Zagłębie Lubin,3:0
22/23,13,Wisła Płock,Legia Warszawa,2:1
22/23,14,Cracovia Kraków,Lech Poznań,0:0
22/23,14,Legia Warszawa,Pogoń Szczecin,1:1
22/23,14,Piast Gliwice,Radomiak Radom,1:2
22/23,14,Raków Częstochowa,Korona Kielce,1:0
22/23,14,Stal Mielec,Wisła Płock,1:1
22/23,14,Śląsk Wrocław,Jagiellonia Białystok,2:2
22/23,14,Warta Poznań,Górnik Zabrze,0:0
22/23,14,Widzew Łódź,Miedź Legnica,1:0
22/23,14,Zagłębie Lubin,Lechia Gdańsk,0:3
22/23,15,Górnik Zabrze,Widzew Łódź,3:0
