id;Imię;Nazwisko;Sezon;#;Defensywa;Szybkość;Podania;Atak;Zaangażowanie;Kreatywność;Strzał;Ogólna;Wartość
1;Andrejs;Ciganiks;22/23;14;52;66;54;66;68;64;63;61;550
2;Paweł;Zieliński;22/23;23;58;59;55;57;62;62;61;59;200
3;Fabio;Nunes;22/23;92;48;69;64;73;76;77;63;65;500
4;Mato;Milos;22/23;7;54;62;54;63;66;59;60;59;400
5;Andrejs;Ciganiks;23/24;14;54;67;55;68;69;62;65;62;400
6;Paweł;Zieliński;23/24;23;57;56;57;55;63;51;60;57;150
7;Fabio;Nunes;23/24;92;49;68;66;74;77;78;65;66;400
8;Mato;Milos;23/24;7;54;61;55;64;66;60;59;59;250
9;Patryk;Stępiński;23/24;95;61;55;53;54;74;58;58;59;500
10;Lirim;Kastrati;23/24;62;54;63;51;55;65;61;60;58;250
11;Fabio;Nunes;24/25;92;48;66;65;73;41;77;64;59;100
12;Lirim;Kastrati;24/25;62;55;64;52;55;66;61;60;59;350
13;Samuel;Kozlovsky;24/25;3;59;62;58;58;63;64;61;60;800
14;Jakub;Grzejszczak;24/25;30;47;59;51;43;50;43;40;49;25
15;Marcel;Krajewski;24/25;91;49;60;53;51;64;57;52;55;450
16;Peter;Therkildsen;24/25;16;51;60;54;52;68;58;55;57;350
17;Samuel;Kozlovsky;25/26;3;60;61;59;55;62;64;60;60;600
18;Marcel;Krajewski;25/26;91;52;65;60;57;67;59;54;59;750
19;Stelios;Andreou;25/26;23;64;60;63;55;61;62;51;61;2500
20;Dion;Gallapeni;25/26;17;61;65;60;59;63;60;57;61;2000
21;Carlos;Isaac;25/26;2;63;64;62;60;60;61;58;62;600
22;Peter;Therkildsen;25/26;16;52;61;57;55;74;59;55;59;450
23;Marcel;Krajewski;26/27;91;54;70;62;58;69;60;55;62;1500
24;Carlos;Isaac;26/27;2;63;64;62;60;60;61;58;62;600
25;Mario;Gracia;26/27;40;54;68;67;67;66;68;60;64;900
26;Jusuf;Gazibegović;26/27;70;61;62;65;63;60;61;57;62;2000
