id;Imię;Nazwisko;Sezon;#;Defensywa;Szybkość;Podania;Atak;Zaangażowanie;Kreatywność;Strzał;Ogólna;Wartość
1;Jordi;Sanchez;22/23;9;48;67;57;64;65;65;64;63;600
2;Łukasz;Zjawiński;22/23;29;49;61;55;61;63;57;57;59;300
3;Mateusz;Kempski;22/23;18;44;60;53;56;60;50;53;54;25
4;Jordi;Sanchez;23/24;9;48;67;57;65;67;66;65;64;650
5;Imad;Rondić;23/24;99;48;60;56;63;65;62;64;62;400
6;Imad;Rondić;24/25;9;49;61;57;64;67;63;66;63;1200
7;Lubomir;Tupta;24/25;29;47;62;57;62;61;60;58;60;700
8;Said;Hamulić;24/25;99;40;68;54;60;50;68;58;60;500
9;Hubert;Sobol;24/25;17;45;61;54;57;62;52;56;56;75
10;Daniel;Gryzio;24/25;18;45;59;54;53;60;50;55;54;50
11;Sebastian;Bergier;25/26;99;50;63;55;66;68;58;74;65;2000
12;Andi;Zeqiri;25/26;9;44;66;55;63;42;68;59;60;2500
13;Pape;Meissa Ba;25/26;27;45;59;54;57;54;51;57;55;1000
14;Sebastian;Bergier;26/27;99;51;63;54;67;69;58;66;63;2500
15;Karol;Świderski;26/27;28;54;65;56;67;70;60;61;63;4500
