id;Imię;Nazwisko;Sezon;#;Defensywa;Szybkość;Podania;Atak;Zaangażowanie;Kreatywność;Strzał;Ogólna;Wartość
1;Dominik;Kun;22/23;22;59;63;58;58;67;56;59;59;550
2;Juliusz;Letniowski;22/23;10;54;64;59;60;62;61;60;59;450
3;Marek;Hanousek;22/23;25;61;59;58;58;65;55;58;59;500
4;Juljan;Shehu;22/23;6;58;60;59;57;60;55;57;58;250
5;Patryk;Lipski;22/23;20;54;59;58;59;61;56;58;58;200
6;Ignacy;Dawid;22/23;88;50;61;52;51;60;50;51;52;25
7;Bartłomiej;Pawłowski;22/23;19;55;68;62;65;71;73;69;66;550
8;Jakub;Sypek;22/23;21;54;63;59;59;61;60;59;59;200
9;Filip;Zawadzki;22/23;16;50;60;52;51;60;50;50;53;25
10;Dominik;Kun;23/24;22;58;61;59;58;69;56;59;59;400
11;Marek;Hanousek;23/24;25;64;59;59;58;67;55;58;60;450
12;Juljan;Shehu;23/24;6;59;61;60;59;62;58;58;59;300
13;Ignacy;Dawid;23/24;88;50;61;53;52;61;51;51;53;50
14;Bartłomiej;Pawłowski;23/24;19;56;69;64;66;74;74;69;67;550
15;Noah;Diliberto;23/24;44;55;61;54;57;61;57;59;57;600
16;Fran;Alvarez;23/24;10;56;63;61;61;64;67;67;62;500
17;Dawid;Tkacz;23/24;8;53;63;57;58;65;58;58;58;400
18;Sebastian;Kerk;23/24;37;54;59;64;60;62;68;59;62;400
19;Filip;Przybułek;23/24;80;51;58;54;51;61;50;52;53;100
20;Marek;Hanousek;24/25;25;64;58;59;57;69;55;57;59;350
21;Juljan;Shehu;24/25;6;67;63;65;64;68;62;61;64;800
22;Bartłomiej;Pawłowski;24/25;19;54;66;62;62;75;74;59;64;400
23;Jakub;Sypek;24/25;21;55;68;62;63;66;63;65;62;450
24;Noah;Diliberto;24/25;44;54;60;53;56;55;56;58;55;300
25;Fran;Alvarez;24/25;10;57;64;64;65;68;69;69;65;800
26;Sebastian;Kerk;24/25;37;55;58;65;61;64;69;60;63;400
27;Szymon;Czyż;24/25;55;58;62;59;58;63;58;58;59;400
28;Leon;Madej;24/25;23;49;61;52;52;60;50;51;52;25
29;Jakub;Łukowski;24/25;7;55;63;60;61;62;58;60;59;400
30;Marek;Hanousek;25/26;25;61;56;57;56;70;54;55;58;150
31;Juljan;Shehu;25/26;6;68;65;68;68;76;67;65;68;2500
32;Bartłomiej;Pawłowski;25/26;19;50;60;61;61;76;71;61;63;200
33;Fran;Alvarez;25/26;10;58;65;69;68;70;73;71;68;1250
34;Szymon;Czyż;25/26;55;59;62;60;59;64;59;58;60;400
35;Lindon;Selahi;25/26;18;62;60;62;58;63;61;59;61;1500
36;Lukas;Lerager;25/26;21;70;58;64;59;66;61;59;63;800
37;Kuba;Nawrocki;25/26;46;51;61;52;51;60;50;51;52;25
38;Emil;Kornvig;25/26;8;55;63;67;66;63;68;63;64;3500
39;Tonio;Teklić;25/26;70;54;64;63;63;61;60;58;60;700
40;Juljan;Shehu;26/27;6;69;65;69;69;77;68;64;69;3500
41;Fran;Alvarez;26/27;10;55;64;69;68;71;73;69;68;1500
42;Szymon;Czyż;26/27;55;59;62;60;59;64;59;58;60;400
43;Lindon;Selahi;26/27;18;63;60;63;59;67;62;58;62;1000
44;Lukas;Lerager;26/27;21;70;58;64;59;66;61;59;63;800
45;Kuba;Nawrocki;26/27;46;52;61;52;51;60;50;51;53;25
46;Emil;Kornvig;26/27;8;55;63;67;66;65;68;63;64;3000
47;Dani;Silva;26/27;80;56;64;65;65;63;66;61;63;2000
48;Giannis;Papanikolaou;26/27;5;63;62;63;61;65;62;58;62;1200
