id;Imię;Nazwisko;Sezon;#;Defensywa;Szybkość;Podania;Atak;Zaangażowanie;Kreatywność;Strzał;Ogólna;Wartość
1;Adam;Dębiński;22/23;70;50;55;51;52;60;50;51;52;25
2;Kristoffer;Hansen;22/23;77;53;63;60;63;63;67;62;63;400
3;Karol;Danielak;22/23;8;59;63;55;60;64;61;59;60;250
4;Ernest;Terpiłowski;22/23;13;53;66;54;60;63;60;60;61;800
5;Ernest;Terpiłowski;23/24;13;54;66;54;58;61;58;59;59;500
6;Antoni;Klimek;23/24;47;52;64;54;59;64;61;60;60;500
7;Kamil;Cybulski;23/24;78;51;59;53;54;60;53;53;55;150
8;Antoni;Klimek;24/25;47;51;64;54;58;62;61;58;59;400
9;Kamil;Cybulski;24/25;78;52;60;54;55;61;54;59;57;500
10;Hilary;Gong;24/25;8;51;69;54;55;60;55;58;58;200
11;Nikodem;Stachowicz;24/25;70;50;62;53;53;60;50;57;55;50
12;Mariusz;Fornalczyk;25/26;7;53;69;54;60;65;60;59;61;1000
13;Osman;Bukari;25/26;22;52;69;53;61;60;55;58;60;2500
14;Samuel;Akere;25/26;8;53;67;55;60;63;61;59;61;1000
15;Angel;Baena;25/26;77;55;68;56;61;65;61;60;62;450
16;Antoni;Klukowski;25/26;20;51;61;52;58;60;52;57;57;300
17;Mariusz;Fornalczyk;26/27;7;54;71;55;60;70;65;61;63;900
18;Angel;Baena;26/27;77;56;68;57;62;66;62;60;63;500
19;Antoni;Klukowski;26/27;20;51;61;52;58;62;52;57;57;250
20;Stipe;Biuk;26/27;79;53;61;55;59;62;58;58;59;2000
21;Paulinho;Boia;26/27;98;51;62;50;58;60;61;57;58;1200
22;Darian;Males;26/27;19;53;61;56;59;65;59;59;59;1200
