id;Imię;Nazwisko;Sezon;#;Defensywa;Szybkość;Podania;Atak;Zaangażowanie;Kreatywność;Strzał;Ogólna;Wartość
1;Patryk;Stępiński;22/23;95;61;55;53;54;74;58;58;60;600
2;Mateusz;Żyro;22/23;4;63;59;56;55;64;57;58;60;500
3;Serafin;Szota;22/23;5;62;57;55;53;66;55;57;59;450
4;Martin;Kreuzriegler;22/23;33;66;56;63;53;63;56;63;61;400
5;Bozhidar;Chorbadzhiyski;22/23;3;60;56;54;55;64;55;57;58;200
6;Mateusz;Żyro;23/24;4;64;60;57;57;67;58;59;61;550
7;Serafin;Szota;23/24;5;64;58;56;53;67;56;57;60;500
8;Juan;Ibiza;23/24;15;64;59;64;58;66;64;58;62;550
9;Luis;Silva;23/24;2;60;59;57;54;68;56;58;59;400
10;Paweł;Kwiatkowski;23/24;21;54;56;52;52;61;53;54;55;25
11;Hubert;Lenart;23/24;72;50;51;48;47;60;51;50;51;25
12;Mateusz;Żyro;24/25;4;66;61;58;57;70;58;59;62;600
13;Juan;Ibiza;24/25;15;64;58;65;58;67;65;57;62;550
14;Luis;Silva;24/25;2;62;60;58;55;69;56;57;60;350
15;Paweł;Kwiatkowski;24/25;21;57;57;53;52;63;54;54;56;150
16;Kreshnik;Hajrizi;24/25;5;69;57;55;56;43;57;58;58;700
17;Polydefkis;Volanakis;24/25;24;61;56;55;54;60;52;56;57;300
18;Mateusz;Żyro;25/26;4;67;61;59;57;72;58;59;63;700
19;Przemysław;Wiśniewski;25/26;25;78;76;60;57;75;60;64;70;2000
20;Steve;Kapuadi;25/26;53;74;68;63;58;70;62;62;67;2500
21;Ricardo;Visus;25/26;14;65;62;63;58;67;61;59;63;800
22;Mateusz;Żyro;26/27;4;65;60;59;56;74;58;57;62;600
23;Przemysław;Wiśniewski;26/27;25;79;75;63;56;78;59;65;71;2500
24;Steve;Kapuadi;26/27;3;71;68;66;58;72;62;62;67;2500
25;Ricardo;Visus;26/27;14;62;61;63;58;64;61;58;61;600
