id;dru¿yna;BR;Obrona;Pomoc;Atak;Ogólna
1;Lech Poznañ;73;71;74;78;74
2;Raków Czêstochowa;78;72;70;74;74
3;Jagiellonia Bia³ystok;67;68;71;75;70
4;Pogoñ Szczecin;68;68;70;83;72
5;Legia Warszawa;66;67;69;68;68
6;Cracovia;62;64;69;73;67
7;Motor Lublin;60;60;65;73;65
8;GKS Katowice;64;63;65;68;65
9;Górnik Zabrze;66;65;63;65;65
10;Piast Gliwice;66;67;62;64;65
11;Korona Kielce;61;62;62;66;63
12;Radomiak Radom;59;59;64;66;62
13;Lechia Gdañsk;57;58;63;64;61
14;Zag³êbie Lubin;58;58;59;59;59
15;Stal Mielec;57;56;60;59;58
16;Œl¹sk Wroc³aw;57;56;59;57;57
17;Puszcza Niepo³omice;53;58;58;58;57
