id;Imię;Nazwisko;Sezon;Taktyka;Siła;KolejkaStartowa
1;Janusz;Niedźwiedź;22/23;3-4-2-1;+0,2;1
2;Janusz;Niedźwiedź;23/24;4-3-3;+0,1;1
3;Daniel;Myśliwiec;23/24;4-3-3;+0,6;8
4;Daniel;Myśliwiec;24/25;4-4-2;+0,3;1
5;Patryk;Czubak;24/25;4-3-3;+0,4;23
6;Zeljko;Sopić;24/25;4-3-3;+0,5;26
7;Zeljko;Sopić;25/26;4-4-2;+0,6;1
8;Patryk;Czubak;25/26;4-3-3;+0,4;7
9;Igor;Jovicević;25/26;4-3-3;+0,8;12
10;Aleksandar;Vuković;25/26;3-4-2-1;-1;24
11;Aleksandar;Vuković;26/27;4-3-3;-0,6;1
12;Mateusz;Stolarski;26/27;4-3-3;+1;8
